1	0.5385
2	0.4667
3	0.5455
4	0.1538
5	0.5833
6	0.3077
7	0.3333
8	0.5385
9	0.3636
10	0.8000
11	0.6923
12	0.4545
13	0.3571
14	0.4167
15	0.2857
16	0.6000
17	0.5833
18	0.3571
19	0.6667
20	0.4545
21	0.4667
22	0.5000
23	0.2353
24	0.5385
25	0.5000
26	0.5294
27	0.5000
28	0.5714
29	0.4667
30	0.5333
31	0.3846
32	0.5000
33	0.5000
34	0.5000
35	0.3636
36	0.3571
37	0.6429
38	0.4615
39	0.3571
40	0.4615
41	0.4375
42	0.5455
43	0.5000
44	0.4615
45	0.6364
46	0.4615
47	0.3571
48	0.4167
49	0.5714
50	0.6154
51	0.2500
52	0.5000
53	0.6667
54	0.5455
55	0.5833
56	0.2857
57	0.6923
58	0.6429
59	0.5833
60	0.3333
61	0.7143
62	0.3125
63	0.4000
64	0.3846
65	0.2308
66	0.5000
67	0.5000
68	0.2857
69	0.3846
70	0.3636
71	0.5333
72	0.4167
73	0.4545
74	0.3846
75	0.4167
76	0.5000
77	0.5455
78	0.6364
79	0.3077
80	0.4615
81	0.4615
82	0.3846
83	0.5714
84	0.5714
85	0.4545
86	0.5455
87	0.6923
88	0.3333
89	0.4545
90	0.1818
91	0.3750
92	0.5833
93	0.5333
94	0.5385
95	0.6923
96	0.3077
97	0.5000
98	0.4167
99	0.5000
100	0.3846
