1	0.3000
2	0.4000
3	0.5000
4	0.3000
5	0.6000
6	0.4000
7	0.3000
8	0.6000
9	0.3000
10	0.7000
11	0.6000
12	0.4000
13	0.3000
14	0.4000
15	0.3000
16	0.5000
17	0.5000
18	0.4000
19	0.6000
20	0.5000
21	0.4000
22	0.4000
23	0.2000
24	0.5000
25	0.4000
26	0.5000
27	0.5000
28	0.5000
29	0.4000
30	0.5000
31	0.4000
32	0.4000
33	0.4000
34	0.4000
35	0.3000
36	0.4000
37	0.5000
38	0.4000
39	0.3000
40	0.5000
41	0.4000
42	0.5000
43	0.4000
44	0.3000
45	0.6000
46	0.4000
47	0.4000
48	0.4000
49	0.5000
50	0.6000
51	0.2000
52	0.5000
53	0.6000
54	0.5000
55	0.4000
56	0.5000
57	0.6000
58	0.5000
59	0.5000
60	0.4000
61	0.6000
62	0.3000
63	0.4000
64	0.4000
65	0.5000
66	0.4000
67	0.4000
68	0.4000
69	0.4000
70	0.4000
71	0.5000
72	0.3000
73	0.4000
74	0.4000
75	0.3000
76	0.4000
77	0.5000
78	0.6000
79	0.6000
80	0.4000
81	0.5000
82	0.3000
83	0.4000
84	0.5000
85	0.3000
86	0.5000
87	0.5000
88	0.3000
89	0.4000
90	0.2000
91	0.5000
92	0.5000
93	0.4000
94	0.5000
95	0.5000
96	0.5000
97	0.5000
98	0.4000
99	0.4000
100	0.4000
